1.414214
1 2 3 4 5
6 7 8 9 10
1 2 3 4 7
5 6 8 9 10
1 2 3 4 8
5 6 7 9 10
1 2 3 4 10
5 6 7 8 9
1 2 3 5 7
4 6 8 9 10
1 2 3 5 8
4 6 7 9 10
1 2 3 5 10
4 6 7 8 9
1 2 3 6 9
4 5 7 8 10
1 2 3 7 8
4 5 6 9 10
1 2 3 7 10
4 5 6 8 9
1 2 3 8 10
4 5 6 7 9
1 4 5 6 9
2 3 7 8 10
1 4 5 7 8
2 3 6 9 10
1 4 5 7 10
2 3 6 8 9
1 4 5 8 10
2 3 6 7 9
1 4 6 7 9
2 3 5 8 10
1 4 6 8 9
2 3 5 7 10
1 4 6 9 10
2 3 5 7 8
1 4 7 8 10
2 3 5 6 9
1 5 6 7 9
2 3 4 8 10
1 5 6 8 9
2 3 4 7 10
1 5 6 9 10
2 3 4 7 8
1 5 7 8 10
2 3 4 6 9
1 6 7 8 9
2 3 4 5 10
1 6 7 9 10
2 3 4 5 8
1 6 8 9 10
2 3 4 5 7
